code,n,categories_used,observed_agreement,expected_agreement,kappa,note
E gate,61,E1/E2/E3/E4,0.9836,0.3816,0.9735,
instrument (both coders E1),34,a/b/c,1.0,0.5242,1.0,
R1,61,False/True,0.9836,0.502,0.9671,
R2,61,False/True,0.9344,0.5571,0.8519,
R3,61,False/True,0.9836,0.8917,0.8486,
R4,61,False/True,0.9836,0.9213,0.7918,
R5,61,False/True,0.9836,0.8917,0.8486,
R6,61,False/True,0.9508,0.7589,0.796,
R7,61,False/True,1.0,0.8226,1.0,
C0,61,False/True,1.0,0.598,1.0,
C1,61,False/True,0.9836,0.5262,0.9654,
C2,61,False/True,0.9344,0.5367,0.8585,
C3,61,False/True,0.9508,0.6541,0.8578,
narrow_c1,61,False/True,0.9836,0.5192,0.9659,
narrow_c2,61,False/True,0.9344,0.5367,0.8585,
narrow_c3,61,False/True,0.9508,0.6541,0.8578,
states_distinction,61,False/True,0.9836,0.8095,0.914,
text_is_abstract,61,False/True,1.0,0.8775,1.0,
