key,reasoning
10_3390_ijerph17062125,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_3389_fdata_2022_931206,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_2196_60223,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_1038_s41598_025_08804_7,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_3389_fncom_2026_1800284,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_33083_joghat_2019_16,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_33119_sip_2020_178_3,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_26615_978_954_452_072_4_152,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_2174_1874350102114010033,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_52522_ijngp_v1i3_1,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_18178_ijiet_2023_13_6_1885,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_48550_arxiv_2308_10278,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_54097_hset_v38i_5773,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_54097_hset_v34i_5497,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_48550_arxiv_2309_05497,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_54254_2754_1169_14_20230830,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_54254_2755_2721_8_20230275,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_54254_2753_7064_7_20230899,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_1155_2024_7115633,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_28945_5314,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_48550_arxiv_2405_02349,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_51889_2959_5967_2024_79_2_027,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_37999_udekad_1397272,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_31235_osf_io_c9raf,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_3390_businesses5020019,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_4992_pacjpa_89_0_423,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_1017_pds_2025_10184,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_48017_dj_v10ispecial_3_3806,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_15611_2025_44_3_02,2026-08-21 著者が読み、コーダーの値のままでよいと判断
https_openalex_org_w7112250408,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_1007_s10758_025_09931_w,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_18653_v1_2026_findings_acl_205,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_1186_s12903_026_08047_6,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_5281_zenodo_20131632,2026-08-21 著者が読み、コーダーの値のままでよいと判断
10_5281_zenodo_21517801,2026-08-21 著者が読み、コーダーの値のままでよいと判断
